measure label,year,state,county,fips,value,numerator,denominator
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Rockland County,36087,0.044412225,4656,104836
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Saratoga County,36091,0.099668488,10222,102560
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Schenectady County,36093,0.228163317,15558,68188
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,St. Lawrence County,36089,0.179368421,9372,52250
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Steuben County,36101,0.189486206,9242,48774
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Suffolk County,36103,0.148527861,84765,570701
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Sullivan County,36105,0.406568438,20228,49753
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Tompkins County,36109,0.086667456,3663,42265
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Ulster County,36111,0.162788749,13643,83808
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Warren County,36113,0.36643365,14362,39194
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Wayne County,36117,0.132110983,5476,41450
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Westchester County,36119,0.080421336,29730,369678
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Alamance County,37001,0.077257797,5291,68485
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Brunswick County,37019,0.382933915,31813,83077
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Buncombe County,37021,0.114486083,13354,116643
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Burke County,37023,0.15359807,6239,40619
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Cabarrus County,37025,0.079680085,6127,76895
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Caldwell County,37027,0.147510499,5552,37638
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Carteret County,37031,0.348208636,17057,48985
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Catawba County,37035,0.104205348,7072,67866
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Chatham County,37037,0.092420168,2819,30502
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Cleveland County,37045,0.148606166,6429,43262
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Craven County,37049,0.091371112,4207,46043
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Cumberland County,37051,0.165618852,23920,144428
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Davidson County,37057,0.105853237,7742,73139
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Durham County,37063,0.078487232,10221,130225
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Forsyth County,37067,0.107211456,17360,161923
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Gaston County,37071,0.125071913,11305,90388
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Guilford County,37081,0.107259132,24148,225137
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Harnett County,37085,0.120897233,6015,49753
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Henderson County,37089,0.145194903,8083,55670
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Iredell County,37097,0.09709765,6885,70908
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Johnston County,37101,0.093771085,6672,71152
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Lincoln County,37109,0.124554642,4265,34242
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Mecklenburg County,37119,0.067872941,29041,427873
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Moore County,37125,0.154487193,7063,45719
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Nash County,37127,0.142439872,6047,42453
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,New Hanover County,37129,0.138629213,14844,107077
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Onslow County,37133,0.146934152,11301,76912
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Orange County,37135,0.071114875,4032,56697
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Pitt County,37147,0.115493543,8931,77329
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Randolph County,37151,0.088701248,5431,61228
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Robeson County,37155,0.127912536,6681,52231
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Rockingham County,37157,0.146343142,6375,43562
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Rowan County,37159,0.148486912,8945,60241
