measure label,year,state,county,fips,perc_vacant_housing_1y2013,numerator,denominator
perc_vacant_housing_1y,2013, South Carolina,Spartanburg County,45083,0.119983092,14762,123034
perc_vacant_housing_1y,2013, South Carolina,Sumter County,45085,0.136265486,6311,46314
perc_vacant_housing_1y,2013, South Carolina,York County,45091,0.090700023,8795,96968
perc_vacant_housing_1y,2013, South Dakota,Minnehaha County,46099,0.043335762,3213,74142
perc_vacant_housing_1y,2013, South Dakota,Pennington County,46103,0.087354317,4010,45905
perc_vacant_housing_1y,2013, Tennessee,Anderson County,47001,0.145949543,5050,34601
perc_vacant_housing_1y,2013, Tennessee,Blount County,47009,0.098594598,5465,55429
perc_vacant_housing_1y,2013, Tennessee,Bradley County,47011,0.089979552,3784,42054
perc_vacant_housing_1y,2013, Tennessee,Davidson County,47037,0.092326172,26671,288878
perc_vacant_housing_1y,2013, Tennessee,Greene County,47059,0.147135288,4697,31923
perc_vacant_housing_1y,2013, Tennessee,Hamilton County,47065,0.105377033,16121,152984
perc_vacant_housing_1y,2013, Tennessee,Knox County,47093,0.085174106,16804,197290
perc_vacant_housing_1y,2013, Tennessee,Madison County,47113,0.160675585,6821,42452
perc_vacant_housing_1y,2013, Tennessee,Maury County,47119,,,35560
perc_vacant_housing_1y,2013, Tennessee,Montgomery County,47125,0.118724741,8930,75216
perc_vacant_housing_1y,2013, Tennessee,Putnam County,47141,0.064336479,2091,32501
perc_vacant_housing_1y,2013, Tennessee,Robertson County,47147,,,26247
perc_vacant_housing_1y,2013, Tennessee,Rutherford County,47149,0.04935592,5253,106431
perc_vacant_housing_1y,2013, Tennessee,Sevier County,47155,0.330115974,18503,56050
perc_vacant_housing_1y,2013, Tennessee,Shelby County,47157,0.130887598,52507,401161
perc_vacant_housing_1y,2013, Tennessee,Sullivan County,47163,0.116875187,8613,73694
perc_vacant_housing_1y,2013, Tennessee,Sumner County,47165,0.06241063,4190,67136
perc_vacant_housing_1y,2013, Tennessee,Washington County,47179,0.104008123,6041,58082
perc_vacant_housing_1y,2013, Tennessee,Williamson County,47187,0.036891561,2658,72049
perc_vacant_housing_1y,2013, Tennessee,Wilson County,47189,0.069277614,3299,47620
perc_vacant_housing_1y,2013, Texas,Angelina County,48005,0.161153004,5792,35941
perc_vacant_housing_1y,2013, Texas,Bastrop County,48021,,,29284
perc_vacant_housing_1y,2013, Texas,Bell County,48027,0.21504125,28259,131412
perc_vacant_housing_1y,2013, Texas,Bexar County,48029,0.077748582,52431,674366
perc_vacant_housing_1y,2013, Texas,Bowie County,48037,0.171960115,6692,38916
perc_vacant_housing_1y,2013, Texas,Brazoria County,48039,0.095011301,11770,123880
perc_vacant_housing_1y,2013, Texas,Brazos County,48041,0.115426965,9435,81740
perc_vacant_housing_1y,2013, Texas,Cameron County,48061,0.164902225,23832,144522
perc_vacant_housing_1y,2013, Texas,Collin County,48085,0.032375656,10338,319314
perc_vacant_housing_1y,2013, Texas,Comal County,48091,0.113016181,5616,49692
perc_vacant_housing_1y,2013, Texas,Coryell County,48099,0.144716516,3747,25892
perc_vacant_housing_1y,2013, Texas,Dallas County,48113,0.081769742,78601,961248
perc_vacant_housing_1y,2013, Texas,Denton County,48121,0.058210984,15859,272440
perc_vacant_housing_1y,2013, Texas,Ector County,48135,0.055820037,3072,55034
perc_vacant_housing_1y,2013, Texas,El Paso County,48141,0.081682056,23047,282155
perc_vacant_housing_1y,2013, Texas,Ellis County,48139,0.049709849,2784,56005
perc_vacant_housing_1y,2013, Texas,Fort Bend County,48157,0.043181702,9262,214489
perc_vacant_housing_1y,2013, Texas,Galveston County,48167,0.185159311,25442,137406
perc_vacant_housing_1y,2013, Texas,Grayson County,48181,0.136526495,7354,53865
perc_vacant_housing_1y,2013, Texas,Gregg County,48183,0.071688272,3628,50608
perc_vacant_housing_1y,2013, Texas,Guadalupe County,48187,0.060620416,3199,52771
perc_vacant_housing_1y,2013, Texas,Harris County,48201,0.089857116,148394,1651444
perc_vacant_housing_1y,2013, Texas,Harrison County,48203,0.167056367,4644,27799
perc_vacant_housing_1y,2013, Texas,Hays County,48209,0.085845456,5778,67307
perc_vacant_housing_1y,2013, Texas,Henderson County,48213,0.287125707,11363,39575
perc_vacant_housing_1y,2013, Texas,Hidalgo County,48215,0.119147211,30592,256758
perc_vacant_housing_1y,2013, Texas,Hunt County,48231,0.158731028,5814,36628
perc_vacant_housing_1y,2013, Texas,Jefferson County,48245,0.142701998,15243,106817
perc_vacant_housing_1y,2013, Texas,Johnson County,48251,0.080903865,4701,58106
perc_vacant_housing_1y,2013, Texas,Kaufman County,48257,0.107285045,4150,38682
perc_vacant_housing_1y,2013, Texas,Liberty County,48291,0.123695411,3603,29128
