state,county,value
Iowa,Ida,0.141
Iowa,Iowa,0.109
Iowa,Jackson,0.132
Iowa,Jasper,0.113
Iowa,Jefferson,0.11
Iowa,Johnson,0.073
Iowa,Jones,0.126
Iowa,Keokuk,0.136
Iowa,Kossuth,0.145
Iowa,Lee,0.127
Iowa,Linn,0.097
Iowa,Louisa,0.107
Iowa,Lucas,0.16
Iowa,Lyon,0.12
Iowa,Madison,0.096
Iowa,Mahaska,0.131
Iowa,Marion,0.117
Iowa,Marshall,0.109
Iowa,Mills,0.081
Iowa,Mitchell,0.161
Iowa,Monona,0.158
Iowa,Monroe,0.123
Iowa,Montgomery,0.156
Iowa,Muscatine,0.09
Iowa,O'Brien,0.161
Iowa,Osceola,0.129
Iowa,Page,0.148
Iowa,Palo Alto,0.143
Iowa,Plymouth,0.112
Iowa,Pocahontas,0.159
Iowa,Polk,0.087
Iowa,Pottawattamie,0.104
Iowa,Poweshiek,0.145
Iowa,Ringgold,0.156
Iowa,Sac,0.169
Iowa,Scott,0.105
Iowa,Shelby,0.152
Iowa,Sioux,0.103
Iowa,Story,0.068
Iowa,Tama,0.13
Iowa,Taylor,0.148
Iowa,Union,0.156
Iowa,Van Buren,0.128
Iowa,Wapello,0.127
Iowa,Warren,0.107
Iowa,Washington,0.134
Iowa,Wayne,0.183
Iowa,Webster,0.132
Iowa,Winnebago,0.15
Iowa,Winneshiek,0.125
Iowa,Woodbury,0.116
Iowa,Worth,0.113
Iowa,Wright,0.155
Kansas,Allen,0.151
Kansas,Anderson,0.171
Kansas,Atchison,0.117
Kansas,Barber,0.131
Kansas,Barton,0.131
Kansas,Bourbon,0.127
Kansas,Brown,0.14
Kansas,Butler,0.116
Kansas,Chase,0.167
Kansas,Chautauqua,0.148
Kansas,Cherokee,0.118
Kansas,Cheyenne,0.182
Kansas,Clark,0.147
Kansas,Clay,0.152
Kansas,Cloud,0.168
Kansas,Coffey,0.12
Kansas,Comanche,0.174
Kansas,Cowley,0.131
Kansas,Crawford,0.108
Kansas,Decatur,0.174
Kansas,Dickinson,0.139
Kansas,Doniphan,0.117
Kansas,Douglas,0.076
Kansas,Edwards,0.109
Kansas,Elk,0.159
Kansas,Ellis,0.101
Kansas,Ellsworth,0.15
Kansas,Finney,0.073
Kansas,Ford,0.086
Kansas,Franklin,0.096
Kansas,Geary,0.068
Kansas,Gove,0.111
Kansas,Graham,0.154
Kansas,Grant,0.055
Kansas,Gray,0.089
Kansas,Greeley,0.151
Kansas,Greenwood,0.164
Kansas,Hamilton,0.1
Kansas,Harper,0.123
Kansas,Harvey,0.12
Kansas,Haskell,0.113
Kansas,Hodgeman,0.15
Kansas,Jackson,0.127
Kansas,Jefferson,0.121
Kansas,Jewell,0.188
Kansas,Johnson,0.084
Kansas,Kearny,0.117
Kansas,Kingman,0.131
Kansas,Kiowa,0.113
Kansas,Labette,0.132
Kansas,Lane,0.192
Kansas,Leavenworth,0.083
Kansas,Lincoln,0.147
Kansas,Linn,0.143
Kansas,Logan,0.131
Kansas,Lyon,0.098
Kansas,Marion,0.151
Kansas,Marshall,0.156
Kansas,McPherson,0.112
Kansas,Meade,0.123
Kansas,Miami,0.101
Kansas,Mitchell,0.156
Kansas,Montgomery,0.139
Kansas,Morris,0.181
Kansas,Morton,0.105
Kansas,Nemaha,0.154
Kansas,Neosho,0.135
Kansas,Ness,0.167
Kansas,Norton,0.221
Kansas,Osage,0.116
Kansas,Osborne,0.167
Kansas,Ottawa,0.112
Kansas,Pawnee,0.156
Kansas,Phillips,0.131
Kansas,Pottawatomie,0.104
Kansas,Pratt,0.14
Kansas,Rawlins,0.145
Kansas,Reno,0.12
Kansas,Republic,0.195
Kansas,Rice,0.167
Kansas,Riley,0.065
Kansas,Rooks,0.145
Kansas,Rush,0.175
Kansas,Russell,0.171
Kansas,Saline,0.109
Kansas,Scott,0.123
Kansas,Sedgwick,0.095
Kansas,Seward,0.071
Kansas,Shawnee,0.107
Kansas,Sheridan,0.207
Kansas,Sherman,0.135
Kansas,Smith,0.179
Kansas,Stafford,0.129
Kansas,Stanton,0.121
Kansas,Stevens,0.128
Kansas,Sumner,0.128
Kansas,Thomas,0.117
Kansas,Trego,0.117
Kansas,Wabaunsee,0.134
Kansas,Wallace,0.148
Kansas,Washington,0.176
Kansas,Wichita,0.103
Kansas,Wilson,0.129
Kansas,Woodson,0.158
Kansas,Wyandotte,0.087
Kentucky,Adair,0.131
Kentucky,Allen,0.116
Kentucky,Anderson,0.102
Kentucky,Ballard,0.14
