year,county,state,copd_prev,asthma_prev,tobacco_prev,med_income_5y,perc_below_poverty_1y,perc_below_poverty_5y,unemployment_1y,unemployment_5y,num_days_rain,perc_cultivated_land_use,perc_forest_cover,perc_park_proximity,rural_urban,total_pollutants,acetaldehyde,benzene,formaldehyde,apc_percent_diff
2012,Irion,TEXAS,11,3,5,48646.0,,0.068922304,,0.042402826,64.0,0.002,0.005,0.38,1.0,6.6,2.26,0.15,1.71,1.329700272
2012,Pike,INDIANA,13,2,10,40760.0,,0.131541163,,0.067235321,122.0,0.401,0.427,0.07,2.0,11.0,2.06,0.45,1.45,0.040632054
2012,Baylor,TEXAS,15,3,9,34688.0,,0.148558766,,0.028387098,78.0,0.229,0.033,0.25,2.0,7.2,2.39,0.17,1.75,-0.123570638
2014,Washoe,NEVADA,10,4,9,52910.0,0.155695841,0.15683265,0.076587997,0.105918519,65.0,0.001,0.024,0.47,1.0,7.0,1.37,0.64,1.34,-0.125088339
2014,Val Verde,TEXAS,7,3,3,42735.0,,0.223581433,,0.080989107,37.0,0.0,0.014,0.19,2.0,7.2,2.66,0.54,2.19,0.05331992
2014,Sheboygan,WISCONSIN,7,5,6,53029.0,0.080758587,0.09342362,0.042529475,0.067536257,126.0,0.436,0.142,0.54,1.0,9.6,1.21,0.61,0.89,0.116490166
2014,Douglas,NEVADA,10,3,6,58940.0,,0.104910046,,0.094728023,77.0,0.008,0.131,0.26,2.0,6.0,1.21,0.33,1.04,0.047016275
2012,Grant,OREGON,8,2,6,34337.0,,0.157121271,,0.092953525,132.0,0.001,0.541,0.14,2.0,5.3,1.04,0.11,0.73,-0.294234592
2013,Martin,INDIANA,16,4,10,44740.0,,0.145669296,,0.067161262,129.0,0.143,0.72,0.13,2.0,10.7,2.04,0.47,1.41,-0.375344986
2012,Winchester,VIRGINIA,11,4,7,45959.0,,0.204165518,,0.081900261,135.0,0.004,0.11,0.55,1.0,9.6,2.1,0.88,1.77,0.040791842
2013,Alcona,MICHIGAN,14,4,10,37189.0,,0.151475281,,0.144747078,132.0,0.018,0.555,0.12,2.0,7.9,1.06,0.31,0.73,-0.07946027
2013,Graham,ARIZONA,8,4,5,44943.0,,0.222998828,,0.130863845,71.0,0.017,0.169,0.05,2.0,6.4,2.26,0.24,1.56,0.911145752
2014,Wood,OHIO,12,5,8,52758.0,0.151029274,0.147934467,0.060648762,0.088479199,151.0,0.796,0.038,0.2,1.0,11.4,1.56,0.72,1.1,-0.148173207
2012,Hardee,FLORIDA,16,4,8,36115.0,,0.297133237,,0.137310609,146.0,0.177,0.019,0.02,2.0,6.7,2.27,0.28,1.78,0.048231511
2014,Stevens,KANSAS,11,3,5,57614.0,,0.129773691,,0.029975601,64.0,0.668,0.0,0.39,2.0,7.3,1.68,0.22,1.28,0.533726813
2014,Scott,INDIANA,21,4,16,43739.0,,0.196798295,,0.127371028,149.0,0.277,0.461,0.11,1.0,10.7,2.12,0.63,1.52,-0.091070373
2014,Polk,MINNESOTA,9,4,9,51025.0,,0.130130231,,0.050362758,116.0,0.738,0.049,0.37,1.0,8.9,0.93,0.43,0.72,-0.099241466
2014,St. Joseph,MICHIGAN,15,4,11,44145.0,,0.178284496,,0.107205808,123.0,0.527,0.119,0.36,2.0,10.9,1.51,0.5,1.08,0.119393557
2012,Wilcox,ALABAMA,9,4,6,24212.0,,0.394019127,,0.242881551,127.0,0.017,0.605,0.01,2.0,9.4,3.52,0.24,2.63,-0.166764533
2013,Benton,TENNESSEE,15,4,12,33033.0,,0.220939562,,0.166690245,125.0,0.075,0.646,0.0,2.0,9.2,2.51,0.27,1.98,0.045309168
2014,Sanders,MONTANA,8,3,7,31665.0,,0.229138717,,0.103896104,205.0,0.006,0.721,0.08,2.0,6.0,1.16,0.12,0.82,0.307330195
2012,Polk,ARKANSAS,13,3,8,33479.0,,0.214889437,,0.06792669,116.0,0.0,0.76,0.09,2.0,9.3,3.0,0.28,2.24,0.356900726
2014,Crawford,MICHIGAN,14,4,12,42666.0,,0.145712391,,0.137756824,149.0,0.007,0.594,0.03,2.0,7.9,1.16,0.34,0.84,-0.343247588
2013,Clay,KENTUCKY,24,4,24,21883.0,,0.376679331,,0.216002345,160.0,0.001,0.814,0.0,2.0,9.5,2.15,0.33,1.62,0.118756937
2014,Gilpin,COLORADO,9,6,13,65851.0,,0.103160188,,0.057322834,155.0,0.0,0.761,0.13,1.0,5.0,0.92,0.12,0.52,0.469017094
2013,Jessamine,KENTUCKY,14,5,12,49024.0,,0.168606505,,0.090453058,133.0,0.047,0.314,0.31,1.0,10.3,2.15,0.6,1.53,-0.100946372
